,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-481.598,0.0722496,3.83275,3.73975,-488.445,-481.193,-476.089,2890.41,4472.42,187.592,1.00054
raw_nu_ordered[1],-2.01013,0.023345,1.44526,1.40189,-4.50054,-1.94959,0.285654,3918.81,5071.32,254.336,1.00084
raw_nu_ordered[2],-0.670751,0.0132724,1.20175,1.21468,-2.67324,-0.662558,1.26925,8272.32,6933.21,536.885,0.999892
raw_nu_ordered[3],0.817965,0.0129776,1.24075,1.23464,-1.20946,0.803959,2.85518,9238.39,6579.84,599.584,1.00025
raw_nu_ordered[4],1.85192,0.0179069,1.4044,1.37717,-0.376082,1.80654,4.20363,6138.6,6290.59,398.403,1.00087
slip[1],0.223791,0.000866174,0.084207,0.0840043,0.0988419,0.21593,0.376683,8947.71,5287.77,580.719,1.00052
slip[2],0.213401,0.000832678,0.0814893,0.082206,0.0931129,0.205781,0.358623,9486.46,5494.64,615.684,1.00072
slip[3],0.210192,0.000811056,0.0814906,0.0797256,0.0923847,0.201519,0.358816,9755.31,5991.75,633.133,1.00015
slip[4],0.224697,0.000871151,0.0855071,0.0871074,0.0981702,0.21667,0.380187,9373.3,5602.35,608.34,1.00029
slip[5],0.311214,0.00115814,0.100306,0.103547,0.15166,0.307268,0.483521,7361.22,5384.24,477.753,1.00052
slip[6],0.264817,0.000950439,0.0893453,0.0924144,0.125417,0.260966,0.416675,8480.04,5714.98,550.366,1.00055
slip[7],0.201819,0.000805288,0.0776583,0.0785218,0.0874666,0.195019,0.341694,8921.12,5998.43,578.993,1.00041
slip[8],0.200449,0.000779968,0.0760275,0.0761421,0.0883768,0.193072,0.335298,9008.72,5470.4,584.678,1.00031
slip[9],0.182591,0.000706905,0.0703036,0.0690405,0.0792149,0.17578,0.309098,9333.78,5280.53,605.775,1.00025
slip[10],0.216906,0.00078678,0.0812967,0.0830344,0.0942898,0.209799,0.362158,10055.2,5605.98,652.593,1.00013
guess[1],0.093659,0.000394167,0.0402931,0.0388487,0.0389027,0.0875939,0.168481,9623.52,5799.25,624.579,1.00046
guess[2],0.143751,0.000543197,0.0512176,0.0506208,0.0691704,0.138844,0.235225,8612.07,5631.25,558.935,1.00012
guess[3],0.157908,0.000528157,0.0534114,0.053296,0.0793589,0.15312,0.253381,9727.09,5469.92,631.302,1.00029
guess[4],0.0829258,0.000409057,0.0377049,0.0364495,0.0321257,0.076832,0.153846,8191.9,5500.68,531.665,1.00012
guess[5],0.102464,0.000607988,0.0523332,0.0481417,0.0347897,0.0930036,0.20341,7092.23,5797.65,460.295,0.999887
guess[6],0.131755,0.00058196,0.0578626,0.0542164,0.0530376,0.123442,0.239503,9612.31,5901.81,623.852,0.999927
guess[7],0.218867,0.000692442,0.0658943,0.0658527,0.120489,0.212918,0.33706,9109.6,5422.52,591.225,1.00071
guess[8],0.219481,0.000630399,0.0663869,0.0685825,0.121029,0.214668,0.336582,11201.5,6296.28,726.995,1.00001
guess[9],0.259438,0.000720152,0.0714695,0.072055,0.149458,0.254357,0.38593,9681.25,5736.95,628.326,0.999876
guess[10],0.163309,0.000612911,0.0578964,0.0579911,0.0795613,0.157967,0.267754,8877.27,5957.76,576.147,1.00007
lambda1,0.453108,0.00192375,0.0948086,0.0824667,0.324787,0.439499,0.638499,3069.84,2385.21,199.237,1.00223
lambda2,0.656263,0.000887376,0.0740623,0.0740439,0.529932,0.657517,0.773827,6999.68,6245.02,454.289,1.00014
nu[1],0.0357416,0.00120579,0.0503845,0.0178725,0.000618476,0.0141602,0.161915,2594.15,2288.86,168.364,1.00259
nu[2],0.0841688,0.00151176,0.0760927,0.0634093,0.00448341,0.0574646,0.237868,3498.71,3924.29,227.071,1.00153
nu[3],0.261084,0.00159927,0.123783,0.133242,0.0360909,0.273449,0.446066,5757.0,5546.15,373.637,1.00014
nu[4],0.619005,0.00309009,0.181364,0.188521,0.340431,0.591645,0.943384,3078.52,2610.75,199.8,1.00163
"delta[1,1]",0.546892,0.00192375,0.0948086,0.0824667,0.361501,0.560501,0.675213,3069.84,2385.21,199.237,1.00223
"delta[1,2]",0.546892,0.00192375,0.0948086,0.0824667,0.361501,0.560501,0.675213,3069.84,2385.21,199.237,1.00223
"delta[1,3]",0.453108,0.00192375,0.0948086,0.0824667,0.324787,0.439499,0.638499,3069.84,2385.21,199.237,1.00223
