,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-481.611,0.069803,3.84461,3.81212,-488.403,-481.253,-475.841,3066.26,4731.09,207.306,1.00235
raw_nu_ordered[1],-2.00838,0.0205294,1.43942,1.42775,-4.46764,-1.97861,0.321837,4963.12,4847.8,335.55,1.00126
raw_nu_ordered[2],-0.661311,0.0136804,1.22748,1.2125,-2.71847,-0.640091,1.3404,8159.49,6357.6,551.652,1.00033
raw_nu_ordered[3],0.836724,0.0139369,1.24922,1.22501,-1.1884,0.816481,2.92411,8067.63,6396.05,545.442,0.999956
raw_nu_ordered[4],1.89076,0.0170375,1.38589,1.37069,-0.31144,1.86599,4.2112,6590.24,6174.99,445.558,1.00063
slip[1],0.223445,0.000723456,0.0847088,0.0838961,0.0985073,0.215826,0.375736,13241.9,5830.18,895.265,1.00149
slip[2],0.213171,0.00076124,0.0828722,0.0851461,0.0927196,0.20517,0.362958,11385.0,4810.17,769.728,1.00017
slip[3],0.20969,0.00070497,0.0805258,0.0803219,0.0913759,0.201809,0.354855,12483.2,5099.35,843.976,1.00158
slip[4],0.225887,0.000828705,0.0874714,0.0884427,0.0973005,0.217039,0.381031,10724.1,5019.03,725.041,1.00013
slip[5],0.311731,0.00100479,0.100126,0.104414,0.153531,0.308039,0.484007,9672.85,5799.29,653.968,1.00079
slip[6],0.264114,0.000891249,0.0892162,0.0920246,0.123256,0.260988,0.41864,9726.65,5845.25,657.606,1.0017
slip[7],0.201043,0.000681162,0.0759013,0.0771244,0.0889899,0.194221,0.333695,11590.7,5232.0,783.635,1.00099
slip[8],0.200069,0.000716982,0.0765238,0.0760247,0.0870955,0.192477,0.335837,10685.7,5123.14,722.443,1.00119
slip[9],0.182825,0.000650978,0.0698571,0.0699639,0.0805723,0.177022,0.308804,10969.9,5187.2,741.66,1.00001
slip[10],0.21668,0.000743972,0.0820644,0.0837043,0.0960987,0.208151,0.366531,11578.9,5507.39,782.832,1.0003
guess[1],0.0942334,0.00036031,0.0400772,0.0388117,0.0385869,0.0887472,0.166919,12433.4,4917.98,840.605,1.00004
guess[2],0.144121,0.000465501,0.0504709,0.0485236,0.0712047,0.138129,0.236295,11713.3,5804.75,791.922,1.00087
guess[3],0.158303,0.00050583,0.0531774,0.0528404,0.0815096,0.153418,0.254459,10912.8,5496.5,737.802,1.00074
guess[4],0.0826119,0.000346976,0.0369242,0.0348941,0.0319825,0.0772778,0.152196,11282.7,5107.98,762.81,1.00086
guess[5],0.102412,0.000520935,0.0518029,0.0484583,0.034935,0.0937464,0.201631,9708.78,5455.89,656.398,1.00001
guess[6],0.132389,0.000557734,0.0583058,0.0543362,0.0530276,0.123724,0.239911,10363.0,5125.44,700.626,1.00121
guess[7],0.21955,0.000649555,0.0660584,0.0654836,0.120234,0.214196,0.335829,10390.7,5275.06,702.504,1.00053
